#name,RA,Dec,p
DeltaScuti,271.6835652500,30.0281826000,0.0531738185
HADS,233.085230,	+30.359999,  0.06300260513870601
Cepheid,60.9207695000,52.6701589000,2.5054143925
CEPII,227.5171831946575, +50.3849663696353,102.0369488658095
RRlyr ab,254.9328069852762, +30.8264427851143,0.6299452 
RRlyr c,254.721525,+32.834112,0.31087291358160374
RRlyr d,237.213162,+39.080150,0.3779756
Blazkho,244.8090,	+39.5020	 ,0.4800865
GDor,293.545380,+40.459969,0.660604125550223
eclipsing dWD, 285.3559028,	53.1581301,	0.0281957004
eclipsing sdB+RD,322.923, 46.9083, 0.129968
eclipsing WD+RD,270.5329, 33.0393, 0.29661206
RS CVn,255.009789,+21.315306,17.056114
WUma,	248.135439,	+50.831448,   0.306156 
MSMS EA, 256.059906,	+53.187228,  0.929929
BetaLyr,259.389664,+54.211487,0.2060260
Redback pulsar,274.1497142,+45.1760733, 0.360893375540968
Blackwidow pulsar,	299.9031167, +20.8040553,0.3525433978469335
NSWD,34.5265017, +42.5381569, 0.360893375540968
DAV,249.3765,44.0897,0.003553404964
DAB,257.19860,42.6836,0.00517839
ELMV,280.1574676650246, +64.3867454,0.05351600769270095
ELCVn,289.6087,48.8841,1.1599181649224533
sdBV,71.2370769005390, +14.3639378022022,0.0035636193958574792
hotBLAP,277.066320,	+12.425064	,0.005470445217826455
MIRA,291.1946081000,44.4823237000,307.8357543945
PNNV,180.4415536953573, -03.7612855142424,1.0
SXPhe,298.5669123427624, +40.5417844159485,1.0
AGN,254.9327941,30.8264076,1.0
Flare,275.8848294,-11.8624975,1.0
CV,212.8262150000,48.2161897000,1.0
AP,326.0475670000,53.7383908000,3.3325507641
Rotator,130.6565436000,19.9885286000,1.6909290552
